,X,GISJOINID,POP15,POP15DEN,PCTPOPCHA,MDAGE,PCINC15,PCTINCCHA,MDHV15,MDHVCHA,MDCRENT15,PCTMDCR,PCTHSAFF15,PCTHSBRD15,PCTBACH15,PCTVA15,PCTFAM15,HSUNIT15,HS15DEN,MDBLDAGE15,PCTCTLT15,PCTCT1540,PCTCTMT40,PCTPT,PCTMBW,PCTCAR,PCTSAMEHS,PCTMETROPC,CL11_2,CL4_2
567,567,G42010100112001,555,24465.60955,40.1515,41.4,17850,37.4875,75900,35.2941,0,0,0,0,0,39.9281,85.0299,278,12254.84586,70,0,100,0,12.44813278,6.639,80.9129,100,0,6,3
568,568,G42010100112006,401,16159.12585,-30.9811,28.7,14341,23.4271,74100,-8.9681,707,0,21.1268,78.8732,7.5314,0,36.4706,170,6850.502231,76,0,79.3478,20.6522,20.65217391,16.3043,63.0435,100,0,6,3
569,569,G42010100266006,1404,33969.07781,93.9227,47.6,16043,1.0074,127000,8.3618,679,0,11.3821,88.6179,20.3109,22.6744,60.401,516,12484.36193,62,19.7411,65.0485,15.2104,15.53398058,0,84.466,100,0,8,3
570,570,G42010100267004,1055,22027.58743,-50.3996,23.4,14450,-39.8718,99600,21.1679,0,0,44.3478,42.6087,11.1984,13.1635,59.6577,471,9834.117231,71,0,73.8832,26.1168,17.5257732,0,82.4742,97.6676,0,8,3
571,571,G42010100272003,1584,12994.95209,-12.0977,38.8,23531,5.8429,115000,-17.2662,772,-3.8605,37.6623,27.2727,19.5989,1.1679,64.2541,685,5619.660468,59,10.5732,54.6497,34.7771,24.6835443,0,73.7975,71.301,11.926,2,3
572,572,G42010100362022,1685,14150.32742,-0.5313,40.2,36473,66.6423,209300,-0.8527,0,0,15.942,84.058,15.1267,10.8883,70.0965,698,5861.678658,44,13.7195,44.4106,41.8699,4.369918699,1.8293,93.8008,88.9021,10.2671,8,3
573,573,G42010100362031,1453,8762.702287,14.4094,36.6,24896,4.7988,188700,4.3118,645,-10.1671,55.1724,0,11.8068,8.2524,57.672,618,3727.013085,57,29.0323,55.8205,15.1473,4.419889503,7.7348,83.011,96.5075,3.0649,5,3
574,574,G42010100083024,944,27860.42428,-21.3333,32.3,18730,2.5739,87800,4.7733,766,27.2425,60.2871,31.1005,9.0278,17.5258,56,485,14313.88324,76,2.2346,46.9274,50.838,66.20111732,3.6313,30.1676,86.6024,11.254,3,4
575,575,G42010100163002,835,13160.27178,-14.5343,23.1,7497,-22.5517,103600,44.2897,542,0,4.717,63.2075,3.966,6.087,65.2778,230,3624.985042,76,52.6316,11.8421,35.5263,8.426966292,0,76.9663,82.2754,16.0479,8,3
576,576,G42010100176013,1379,21699.44171,-16.5254,35.2,9510,33.1746,54400,63.3634,0,0,77.7778,17.6471,6.1842,18.6242,58.7629,596,9378.438914,76,31.1047,55.2326,13.6628,19.47674419,12.7907,59.593,86.5243,10.8247,5,3
577,577,G42010100119005,188,7466.17389,-86.1152,38.8,15078,7.2557,95000,-14.9508,0,0,0,53.2258,0,13.9706,16.2393,136,5401.061963,76,0,0,100,100,0,0,100,0,3,4
578,578,G42010100276002,544,18658.09534,-37.3993,44,18488,60.9472,86300,-0.2312,639,-2.144,39.3258,60.6742,5.848,24.8031,67.5393,254,8711.684223,67,18.3099,55.8685,25.8216,57.74647887,0,42.2535,86.3971,11.7647,6,4
579,579,G42010100276004,817,13237.36679,-10.9051,40.2,17840,-20.0824,114400,6.9159,721,-0.2766,56.9343,43.0657,12.3214,13.2565,62.1262,347,5622.235345,65,15.2985,27.6119,57.0896,37.31343284,4.4776,58.209,89.125,1.25,3,4
